"ORIGIN","DEST",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","IAH",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","SAT",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","IAH",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","AUS",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","HOU",
"ABQ","HOU",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
